user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy
How many annual leave days are employees entitled to?,"['COMPANY LEAVE POLICY\n\nPolicy ID: HR-LEAVE-001\nEffective Date: January 1, 2026\nDepartment: Human Resources\n\n1. Annual Leave\n\nAll full-time employees are entitled to 20 days of annual leave per calendar year.\n\nAnnual leave is credited at the beginning of each calendar year.\n\nEmployees joining during the year receive annual leave on a prorated basis.\n\nEmployees should submit annual leave requests at least 5 working days before the intended start date.', ""All annual leave requests require approval from the employee's reporting manager.\n\n2. Sick Leave\n\nEmployees are entitled to 12 days of sick leave per calendar year.\n\nEmployees should inform their manager as soon as possible when they are unable to work due to illness.\n\nA medical certificate may be required for sick leave exceeding 3 consecutive working days.\n\n3. Casual Leave\n\nEmployees are entitled to 6 days of casual leave per calendar year."", ""5. Leave During Notice Period\n\nEmployees serving their notice period must obtain manager and HR approval before taking planned leave.\n\n6. Public Holidays\n\nCompany-declared public holidays are not deducted from an employee's annual leave balance.\n\n7. Emergency Leave\n\nEmployees may request emergency leave when unexpected personal or family circumstances require immediate absence.\n\nEmergency leave is subject to manager approval and applicable leave balance.\n\n8. Leave Balance""]","Based on the provided policy, all full-time employees are entitled to 20 days of annual leave per calendar year. Employees joining during the year receive annual leave on a prorated basis.",Employees are entitled to 20 annual leave days per year.,0.9999999999,1.0,1.0,0.8031785742308598
How many sick leave days are available to employees?,"[""All annual leave requests require approval from the employee's reporting manager.\n\n2. Sick Leave\n\nEmployees are entitled to 12 days of sick leave per calendar year.\n\nEmployees should inform their manager as soon as possible when they are unable to work due to illness.\n\nA medical certificate may be required for sick leave exceeding 3 consecutive working days.\n\n3. Casual Leave\n\nEmployees are entitled to 6 days of casual leave per calendar year."", 'Casual leave may be used for personal activities, appointments, or other short-term requirements.\n\nCasual leave should normally be requested at least 2 working days in advance.\n\n4. Carry Forward\n\nEmployees may carry forward up to 10 unused annual leave days to the following calendar year.\n\nUnused casual leave cannot be carried forward.\n\nUnused sick leave cannot be carried forward.\n\n5. Leave During Notice Period', 'COMPANY LEAVE POLICY\n\nPolicy ID: HR-LEAVE-001\nEffective Date: January 1, 2026\nDepartment: Human Resources\n\n1. Annual Leave\n\nAll full-time employees are entitled to 20 days of annual leave per calendar year.\n\nAnnual leave is credited at the beginning of each calendar year.\n\nEmployees joining during the year receive annual leave on a prorated basis.\n\nEmployees should submit annual leave requests at least 5 working days before the intended start date.']",Employees are entitled to 12 days of sick leave per calendar year.,Employees are entitled to 12 sick leave days.,0.9999999999,1.0,1.0,0.8040383571386666
How many casual leave days are available?,"['Casual leave may be used for personal activities, appointments, or other short-term requirements.\n\nCasual leave should normally be requested at least 2 working days in advance.\n\n4. Carry Forward\n\nEmployees may carry forward up to 10 unused annual leave days to the following calendar year.\n\nUnused casual leave cannot be carried forward.\n\nUnused sick leave cannot be carried forward.\n\n5. Leave During Notice Period', ""All annual leave requests require approval from the employee's reporting manager.\n\n2. Sick Leave\n\nEmployees are entitled to 12 days of sick leave per calendar year.\n\nEmployees should inform their manager as soon as possible when they are unable to work due to illness.\n\nA medical certificate may be required for sick leave exceeding 3 consecutive working days.\n\n3. Casual Leave\n\nEmployees are entitled to 6 days of casual leave per calendar year."", 'COMPANY LEAVE POLICY\n\nPolicy ID: HR-LEAVE-001\nEffective Date: January 1, 2026\nDepartment: Human Resources\n\n1. Annual Leave\n\nAll full-time employees are entitled to 20 days of annual leave per calendar year.\n\nAnnual leave is credited at the beginning of each calendar year.\n\nEmployees joining during the year receive annual leave on a prorated basis.\n\nEmployees should submit annual leave requests at least 5 working days before the intended start date.']",Employees are entitled to 6 days of casual leave per calendar year.,Employees are entitled to 6 casual leave days.,0.49999999995,1.0,1.0,0.8137403955516316
How many annual leave days can be carried forward?,"['Casual leave may be used for personal activities, appointments, or other short-term requirements.\n\nCasual leave should normally be requested at least 2 working days in advance.\n\n4. Carry Forward\n\nEmployees may carry forward up to 10 unused annual leave days to the following calendar year.\n\nUnused casual leave cannot be carried forward.\n\nUnused sick leave cannot be carried forward.\n\n5. Leave During Notice Period', ""5. Leave During Notice Period\n\nEmployees serving their notice period must obtain manager and HR approval before taking planned leave.\n\n6. Public Holidays\n\nCompany-declared public holidays are not deducted from an employee's annual leave balance.\n\n7. Emergency Leave\n\nEmployees may request emergency leave when unexpected personal or family circumstances require immediate absence.\n\nEmergency leave is subject to manager approval and applicable leave balance.\n\n8. Leave Balance"", 'COMPANY LEAVE POLICY\n\nPolicy ID: HR-LEAVE-001\nEffective Date: January 1, 2026\nDepartment: Human Resources\n\n1. Annual Leave\n\nAll full-time employees are entitled to 20 days of annual leave per calendar year.\n\nAnnual leave is credited at the beginning of each calendar year.\n\nEmployees joining during the year receive annual leave on a prorated basis.\n\nEmployees should submit annual leave requests at least 5 working days before the intended start date.']",Employees may carry forward up to 10 unused annual leave days to the following calendar year.,A maximum of 10 annual leave days can be carried forward.,0.9999999999,1.0,1.0,0.8234483532346736
How far in advance should annual leave be requested?,"[""5. Leave During Notice Period\n\nEmployees serving their notice period must obtain manager and HR approval before taking planned leave.\n\n6. Public Holidays\n\nCompany-declared public holidays are not deducted from an employee's annual leave balance.\n\n7. Emergency Leave\n\nEmployees may request emergency leave when unexpected personal or family circumstances require immediate absence.\n\nEmergency leave is subject to manager approval and applicable leave balance.\n\n8. Leave Balance"", 'COMPANY LEAVE POLICY\n\nPolicy ID: HR-LEAVE-001\nEffective Date: January 1, 2026\nDepartment: Human Resources\n\n1. Annual Leave\n\nAll full-time employees are entitled to 20 days of annual leave per calendar year.\n\nAnnual leave is credited at the beginning of each calendar year.\n\nEmployees joining during the year receive annual leave on a prorated basis.\n\nEmployees should submit annual leave requests at least 5 working days before the intended start date.', 'Casual leave may be used for personal activities, appointments, or other short-term requirements.\n\nCasual leave should normally be requested at least 2 working days in advance.\n\n4. Carry Forward\n\nEmployees may carry forward up to 10 unused annual leave days to the following calendar year.\n\nUnused casual leave cannot be carried forward.\n\nUnused sick leave cannot be carried forward.\n\n5. Leave During Notice Period']","Based on the company leave policy, annual leave requests should be submitted at least 5 working days before the intended start date.",Annual leave should be requested at least 5 working days in advance.,0.49999999995,1.0,1.0,0.8269461083833684
What is the maximum domestic hotel reimbursement per night?,"['4. Hotels\n\nEmployees may stay at company-approved hotels.\n\nThe maximum hotel reimbursement is:\n\nDomestic travel:\nINR 6,000 per night.\n\nInternational travel:\nUSD 150 per night.\n\nExceptions require prior approval from the department head.\n\n5. Local Transportation\n\nEmployees may claim reasonable expenses for taxis, ride-sharing services, airport transfers, and public transportation used for business purposes.\n\nReceipts should be retained wherever available.\n\n6. Meals', '6. Meals\n\nEmployees may claim reasonable meal expenses during approved business travel.\n\nThe daily meal allowance for domestic travel is INR 1,500.\n\nThe daily meal allowance for international travel is USD 50.\n\n7. Travel Expenses\n\nEmployees must submit travel expense claims within 10 working days after returning from a business trip.\n\nExpense claims must include receipts for individual expenses above INR 1,000.\n\n8. Personal Travel\n\nPersonal expenses are not reimbursable.', 'Employees should submit travel requests at least 7 calendar days before the planned departure date.\n\n3. Flights\n\nEmployees may book economy-class flights for domestic business travel.\n\nEmployees may book economy-class flights for international travel when the flight duration is less than 6 hours.\n\nFor international flights exceeding 6 hours, employees at manager level and above may book premium economy.\n\nBusiness-class travel requires approval from the department head.\n\n4. Hotels']","Based on the provided policy, the maximum domestic hotel reimbursement is INR 6,000 per night.","The maximum domestic hotel reimbursement is INR 6,000 per night.",0.9999999999,1.0,1.0,0.8540260267824384
What is the maximum international hotel reimbursement per night?,"['4. Hotels\n\nEmployees may stay at company-approved hotels.\n\nThe maximum hotel reimbursement is:\n\nDomestic travel:\nINR 6,000 per night.\n\nInternational travel:\nUSD 150 per night.\n\nExceptions require prior approval from the department head.\n\n5. Local Transportation\n\nEmployees may claim reasonable expenses for taxis, ride-sharing services, airport transfers, and public transportation used for business purposes.\n\nReceipts should be retained wherever available.\n\n6. Meals', 'Personal expenses are not reimbursable.\n\nIf an employee extends a business trip for personal reasons, the additional hotel, transportation, and meal costs must be paid by the employee.\n\n9. Travel Cancellation\n\nEmployees should cancel unused travel bookings as soon as possible.\n\nAny cancellation charges caused by personal reasons may not be reimbursed.\n\n10. Travel Insurance\n\nThe company provides travel insurance for approved international business trips.', '6. Meals\n\nEmployees may claim reasonable meal expenses during approved business travel.\n\nThe daily meal allowance for domestic travel is INR 1,500.\n\nThe daily meal allowance for international travel is USD 50.\n\n7. Travel Expenses\n\nEmployees must submit travel expense claims within 10 working days after returning from a business trip.\n\nExpense claims must include receipts for individual expenses above INR 1,000.\n\n8. Personal Travel\n\nPersonal expenses are not reimbursable.']",The maximum international hotel reimbursement is USD 150 per night.,The maximum international hotel reimbursement is USD 150 per night.,0.9999999999,1.0,1.0,0.8765438107412442
What is the domestic meal allowance per day?,"['6. Meals\n\nEmployees may claim reasonable meal expenses during approved business travel.\n\nThe daily meal allowance for domestic travel is INR 1,500.\n\nThe daily meal allowance for international travel is USD 50.\n\n7. Travel Expenses\n\nEmployees must submit travel expense claims within 10 working days after returning from a business trip.\n\nExpense claims must include receipts for individual expenses above INR 1,000.\n\n8. Personal Travel\n\nPersonal expenses are not reimbursable.', '4. Hotels\n\nEmployees may stay at company-approved hotels.\n\nThe maximum hotel reimbursement is:\n\nDomestic travel:\nINR 6,000 per night.\n\nInternational travel:\nUSD 150 per night.\n\nExceptions require prior approval from the department head.\n\n5. Local Transportation\n\nEmployees may claim reasonable expenses for taxis, ride-sharing services, airport transfers, and public transportation used for business purposes.\n\nReceipts should be retained wherever available.\n\n6. Meals', '9. Internet Reimbursement\n\nEligible employees working under approved remote-work arrangements may receive internet reimbursement.\n\nThe maximum reimbursement is INR 1,000 per month.\n\nEmployees must submit valid documentation according to the expense reimbursement process.\n\n10. Benefit Changes\n\nThe company reserves the right to modify benefit plans based on business requirements, provider changes, or applicable regulations.\n\n11. Authoritative Information']","The daily meal allowance for domestic travel is INR 1,500.","The domestic meal allowance is INR 1,500 per day.",0.9999999999,1.0,1.0,0.8520131749220962
How many days before departure should a travel request be submitted?,"['Employees should submit travel requests at least 7 calendar days before the planned departure date.\n\n3. Flights\n\nEmployees may book economy-class flights for domestic business travel.\n\nEmployees may book economy-class flights for international travel when the flight duration is less than 6 hours.\n\nFor international flights exceeding 6 hours, employees at manager level and above may book premium economy.\n\nBusiness-class travel requires approval from the department head.\n\n4. Hotels', ""COMPANY BUSINESS TRAVEL POLICY\n\nPolicy ID: FIN-TRAVEL-001\nEffective Date: January 1, 2026\nDepartment: Finance and Administration\n\n1. Purpose\n\nThis policy defines the rules for business-related travel undertaken by employees.\n\n2. Travel Approval\n\nAll business travel must be approved by the employee's reporting manager before booking.\n\nInternational travel additionally requires approval from the department head."", 'Personal expenses are not reimbursable.\n\nIf an employee extends a business trip for personal reasons, the additional hotel, transportation, and meal costs must be paid by the employee.\n\n9. Travel Cancellation\n\nEmployees should cancel unused travel bookings as soon as possible.\n\nAny cancellation charges caused by personal reasons may not be reimbursed.\n\n10. Travel Insurance\n\nThe company provides travel insurance for approved international business trips.']",A travel request should be submitted at least 7 calendar days before the planned departure date.,A travel request should be submitted at least 7 calendar days before departure.,0.9999999999,1.0,1.0,0.8791740062860087
How long after a trip can employees submit travel claims?,"['Employees should submit travel requests at least 7 calendar days before the planned departure date.\n\n3. Flights\n\nEmployees may book economy-class flights for domestic business travel.\n\nEmployees may book economy-class flights for international travel when the flight duration is less than 6 hours.\n\nFor international flights exceeding 6 hours, employees at manager level and above may book premium economy.\n\nBusiness-class travel requires approval from the department head.\n\n4. Hotels', '6. Meals\n\nEmployees may claim reasonable meal expenses during approved business travel.\n\nThe daily meal allowance for domestic travel is INR 1,500.\n\nThe daily meal allowance for international travel is USD 50.\n\n7. Travel Expenses\n\nEmployees must submit travel expense claims within 10 working days after returning from a business trip.\n\nExpense claims must include receipts for individual expenses above INR 1,000.\n\n8. Personal Travel\n\nPersonal expenses are not reimbursable.', '4. Hotels\n\nEmployees may stay at company-approved hotels.\n\nThe maximum hotel reimbursement is:\n\nDomestic travel:\nINR 6,000 per night.\n\nInternational travel:\nUSD 150 per night.\n\nExceptions require prior approval from the department head.\n\n5. Local Transportation\n\nEmployees may claim reasonable expenses for taxis, ride-sharing services, airport transfers, and public transportation used for business purposes.\n\nReceipts should be retained wherever available.\n\n6. Meals']",Employees must submit travel expense claims within 10 working days after returning from a business trip.,Travel claims should be submitted within 10 working days.,0.49999999995,1.0,1.0,0.8401302878938413
How many days per week can an employee work from home?,"['Employees working on projects that require physical presence may not be eligible for regular work from home.\n\n3. Work From Home Allowance\n\nEligible employees may work from home up to 2 days per week.\n\nEmployees must work from the location registered with the company unless an alternative location has been approved.\n\n4. Manager Approval\n\nEmployees must obtain manager approval before working from home.', 'Managers may deny work-from-home requests based on business requirements, customer commitments, team availability, or operational needs.\n\n5. Working Hours\n\nEmployees working from home must follow their assigned working hours.\n\nEmployees must remain available through approved communication tools during working hours.\n\n6. Meetings\n\nEmployees working remotely are expected to attend all required meetings.', ""Employees are responsible for taking reasonable care of company equipment.\n\n9. Productivity\n\nEmployees working from home are expected to maintain the same productivity and performance standards applicable when working from the office.\n\n10. Client Requirements\n\nClient-specific work-from-office requirements take priority over this general Work From Home policy.\n\n11. Exceptions\n\nExceptions to this policy require approval from the employee's manager and HR.\n\n12. Policy Changes""]","Based on the provided policy, eligible employees may work from home up to 2 days per week.","Employees may work from home up to 2 days per week, subject to applicable conditions.",0.9999999999,1.0,1.0,0.798639449855918
Who needs to approve work from home?,"['WORK FROM HOME POLICY\n\nPolicy ID: HR-WFH-001\nEffective Date: January 1, 2026\nDepartment: Human Resources\n\n1. Purpose\n\nThe Work From Home policy allows eligible employees to work remotely while maintaining productivity, security, and collaboration.\n\n2. Eligibility\n\nEmployees who have completed their probation period may request work from home.\n\nEligibility may vary depending on job responsibilities, client requirements, security restrictions, and business needs.', 'Managers may deny work-from-home requests based on business requirements, customer commitments, team availability, or operational needs.\n\n5. Working Hours\n\nEmployees working from home must follow their assigned working hours.\n\nEmployees must remain available through approved communication tools during working hours.\n\n6. Meetings\n\nEmployees working remotely are expected to attend all required meetings.', 'Employees working on projects that require physical presence may not be eligible for regular work from home.\n\n3. Work From Home Allowance\n\nEligible employees may work from home up to 2 days per week.\n\nEmployees must work from the location registered with the company unless an alternative location has been approved.\n\n4. Manager Approval\n\nEmployees must obtain manager approval before working from home.']","Based on the provided policy, employees must obtain approval from their **manager** before working from home.",Work from home requires manager approval.,0.5833333333041666,1.0,1.0,0.8358422637026757
Does a client work-from-office requirement take priority over the WFH policy?,"['Managers may deny work-from-home requests based on business requirements, customer commitments, team availability, or operational needs.\n\n5. Working Hours\n\nEmployees working from home must follow their assigned working hours.\n\nEmployees must remain available through approved communication tools during working hours.\n\n6. Meetings\n\nEmployees working remotely are expected to attend all required meetings.', 'Employees working on projects that require physical presence may not be eligible for regular work from home.\n\n3. Work From Home Allowance\n\nEligible employees may work from home up to 2 days per week.\n\nEmployees must work from the location registered with the company unless an alternative location has been approved.\n\n4. Manager Approval\n\nEmployees must obtain manager approval before working from home.', ""Employees are responsible for taking reasonable care of company equipment.\n\n9. Productivity\n\nEmployees working from home are expected to maintain the same productivity and performance standards applicable when working from the office.\n\n10. Client Requirements\n\nClient-specific work-from-office requirements take priority over this general Work From Home policy.\n\n11. Exceptions\n\nExceptions to this policy require approval from the employee's manager and HR.\n\n12. Policy Changes""]","Yes, client-specific work-from-office requirements take priority over the general Work From Home policy.",Yes. Client work-from-office requirements take priority.,0.8333333332916666,1.0,1.0,0.8601920737459688
